x,F,PG
-10,477,477.64073604464977
-9.5,429.25,429.7693297159758
-9,384,384.39792338730194
-8.5,341.25,341.526517058628
-8,301,301.1551107299541
-7.5,263.25,263.28370440128015
-7,228,227.9122980726063
-6.5,195.25,195.04089174393238
-6,165,164.66948541525846
-5.5,137.25,136.79807908658455
-5,112,111.42667275791065
-4.5,89.25,88.55526642923674
-4,69,68.18386010056281
-3.5,51.25,50.3124537718889
-3,36,34.941047443214984
-2.5,23.25,22.069641114541078
-2,13,11.698234785867164
-1.5,5.25,3.826828457193253
-1,0,-1.5445778714806568
-0.5,-2.75,-4.415984200154567
0,-3,-4.787390528828476
0.5,-0.75,-2.658796857502386
1,4,1.969796813823704
1.5,11.25,9.098390485149794
2,21,18.726984156475872
2.5,33.25,30.855577827801962
3,48,45.48417149912805
3.5,65.25,62.61276517045414
4,85,82.24135884178023
4.5,107.25,104.3699525131063
5,132,128.99854618443237
5.5,159.25,156.12713985575846
6,189,185.75573352708454
6.5,221.25,217.88432719841063
7,256,252.51292086973675
7.5,293.25,289.64151454106275
8,333,329.2701082123889
8.5,375.25,371.3987018837149
9,420,416.02729555504106
9.5,467.25,463.1558892263671
10,517,512.7844828976932
