x,y,F,PG
-10,-10,47,46.58929209997437
-9,-10,39,38.58929209997437
-8,-10,31,30.589292099974376
-7,-10,23,22.589292099974376
-6,-10,15,14.58929209997438
-5,-10,7,6.589292099974379
-4,-10,-1,-1.4107079000256206
-3,-10,-9,-9.41070790002562
-2,-10,-17,-17.41070790002562
-1,-10,-25,-25.41070790002562
0,-10,-33,-33.41070790002562
1,-10,-41,-41.41070790002562
2,-10,-49,-49.41070790002563
3,-10,-57,-57.41070790002563
4,-10,-65,-65.41070790002563
5,-10,-73,-73.41070790002563
6,-10,-81,-81.41070790002563
7,-10,-89,-89.41070790002563
8,-10,-97,-97.41070790002563
9,-10,-105,-105.41070790002563
10,-10,-113,-113.41070790002563
-10,-9,40,39.63680490046709
-9,-9,33,32.63680490046709
-8,-9,26,25.63680490046709
-7,-9,19,18.636804900467094
-6,-9,12,11.636804900467094
-5,-9,5,4.636804900467094
-4,-9,-2,-2.3631950995329056
-3,-9,-9,-9.363195099532906
-2,-9,-16,-16.363195099532906
-1,-9,-23,-23.363195099532906
0,-9,-30,-30.363195099532906
1,-9,-37,-37.3631950995329
2,-9,-44,-44.36319509953291
3,-9,-51,-51.36319509953291
4,-9,-58,-58.36319509953291
5,-9,-65,-65.3631950995329
6,-9,-72,-72.3631950995329
7,-9,-79,-79.3631950995329
8,-9,-86,-86.3631950995329
9,-9,-93,-93.3631950995329
10,-9,-100,-100.3631950995329
-10,-8,33,32.68431770095981
-9,-8,27,26.68431770095981
-8,-8,21,20.684317700959813
-7,-8,15,14.684317700959813
-6,-8,9,8.684317700959813
-5,-8,3,2.684317700959813
-4,-8,-3,-3.315682299040187
-3,-8,-9,-9.315682299040187
-2,-8,-15,-15.315682299040187
-1,-8,-21,-21.315682299040187
0,-8,-27,-27.315682299040187
1,-8,-33,-33.31568229904019
2,-8,-39,-39.31568229904019
3,-8,-45,-45.31568229904019
4,-8,-51,-51.31568229904019
5,-8,-57,-57.31568229904019
6,-8,-63,-63.31568229904019
7,-8,-69,-69.31568229904019
8,-8,-75,-75.31568229904019
9,-8,-81,-81.31568229904019
10,-8,-87,-87.31568229904019
-10,-7,26,25.731830501452528
-9,-7,21,20.731830501452528
-8,-7,16,15.73183050145253
-7,-7,11,10.73183050145253
-6,-7,6,5.73183050145253
-5,-7,1,0.7318305014525297
-4,-7,-4,-4.26816949854747
-3,-7,-9,-9.26816949854747
-2,-7,-14,-14.26816949854747
-1,-7,-19,-19.268169498547472
0,-7,-24,-24.268169498547472
1,-7,-29,-29.268169498547472
2,-7,-34,-34.26816949854747
3,-7,-39,-39.26816949854747
4,-7,-44,-44.26816949854747
5,-7,-49,-49.26816949854747
6,-7,-54,-54.26816949854747
7,-7,-59,-59.26816949854747
8,-7,-64,-64.26816949854748
9,-7,-69,-69.26816949854748
10,-7,-74,-74.26816949854748
-10,-6,19,18.779343301945246
-9,-6,15,14.779343301945246
-8,-6,11,10.779343301945246
-7,-6,7,6.7793433019452465
-6,-6,3,2.7793433019452465
-5,-6,-1,-1.2206566980547535
-4,-6,-5,-5.2206566980547535
-3,-6,-9,-9.220656698054754
-2,-6,-13,-13.220656698054754
-1,-6,-17,-17.220656698054754
0,-6,-21,-21.220656698054754
1,-6,-25,-25.220656698054754
2,-6,-29,-29.220656698054754
3,-6,-33,-33.22065669805475
4,-6,-37,-37.22065669805475
5,-6,-41,-41.22065669805475
6,-6,-45,-45.22065669805475
7,-6,-49,-49.22065669805475
8,-6,-53,-53.22065669805475
9,-6,-57,-57.22065669805475
10,-6,-61,-61.22065669805475
-10,-5,12,11.826856102437963
-9,-5,9,8.826856102437963
-8,-5,6,5.826856102437963
-7,-5,3,2.8268561024379633
-6,-5,0,-0.17314389756203674
-5,-5,-3,-3.1731438975620367
-4,-5,-6,-6.173143897562037
-3,-5,-9,-9.173143897562037
-2,-5,-12,-12.173143897562037
-1,-5,-15,-15.173143897562037
0,-5,-18,-18.173143897562035
1,-5,-21,-21.173143897562035
2,-5,-24,-24.173143897562035
3,-5,-27,-27.173143897562035
4,-5,-30,-30.173143897562035
5,-5,-33,-33.17314389756204
6,-5,-36,-36.17314389756204
7,-5,-39,-39.17314389756204
8,-5,-42,-42.17314389756204
9,-5,-45,-45.17314389756204
10,-5,-48,-48.17314389756204
-10,-4,5,4.87436890293068
-9,-4,3,2.87436890293068
-8,-4,1,0.87436890293068
-7,-4,-1,-1.12563109706932
-6,-4,-3,-3.12563109706932
-5,-4,-5,-5.12563109706932
-4,-4,-7,-7.12563109706932
-3,-4,-9,-9.12563109706932
-2,-4,-11,-11.12563109706932
-1,-4,-13,-13.12563109706932
0,-4,-15,-15.12563109706932
1,-4,-17,-17.12563109706932
2,-4,-19,-19.12563109706932
3,-4,-21,-21.12563109706932
4,-4,-23,-23.12563109706932
5,-4,-25,-25.12563109706932
6,-4,-27,-27.12563109706932
7,-4,-29,-29.12563109706932
8,-4,-31,-31.125631097069324
9,-4,-33,-33.12563109706932
10,-4,-35,-35.12563109706932
-10,-3,-2,-2.0781182965766014
-9,-3,-3,-3.0781182965766014
-8,-3,-4,-4.078118296576601
-7,-3,-5,-5.078118296576601
-6,-3,-6,-6.078118296576601
-5,-3,-7,-7.078118296576601
-4,-3,-8,-8.078118296576601
-3,-3,-9,-9.078118296576601
-2,-3,-10,-10.078118296576601
-1,-3,-11,-11.078118296576601
0,-3,-12,-12.078118296576601
