d,w,p,pg
934,2,828,494.1764303219828
935,3,764,494.70552714245605
936,4,677,495.2346239629293
937,5,641,495.7637207834025
938,6,552,496.2928176038757
939,7,241,496.8219144243489
940,1,1,0
941,2,681,497.88010806529536
942,3,667,498.4092048857686
943,4,643,498.93830170624176
944,5,887,499.467398526715
945,6,577,499.9964953471882
946,7,241,500.52559216766144
947,1,1,0
948,2,675,501.58378580860784
949,3,774,502.11288262908107
950,4,662,502.6419794495543
951,5,741,503.17107627002747
952,6,663,503.7001730905007
953,7,241,504.2292699109739
955,2,744,505.2874635519204
956,3,726,505.81656037239355
957,4,673,506.3456571928668
958,5,682,506.87475401334
959,6,635,507.40385083381324
960,7,233,507.9329476542864
961,1,3,0
962,2,738,508.99114129523286
963,3,726,509.5202381157061
964,4,737,510.0493349361793
965,5,691,510.5784317566525
966,6,605,511.1075285771257
967,7,221,511.63662539759895
968,1,2,0
969,2,725,512.6948190385453
970,3,655,513.2239158590186
971,4,699,513.7530126794918
972,5,686,514.282109499965
973,6,837,514.8112063204383
974,7,306,515.3403031409115
975,1,1,0
976,2,809,516.3984967818578
977,3,684,516.9275936023311
978,4,722,517.4566904228043
979,5,687,517.9857872432775
980,6,7,518.5148840637507
981,7,211,519.043980884224
982,1,2,0
983,2,751,520.1021745251704
984,3,778,520.6312713456435
985,4,812,521.1603681661168
986,5,720,521.68946498659
987,6,683,522.2185618070632
988,7,265,522.7476586275365
989,1,16,0
990,2,802,523.8058522684829
991,3,866,524.3349490889561
992,4,750,524.8640459094294
993,5,720,525.3931427299025
994,6,710,525.9222395503757
995,7,286,526.4513363708489
996,1,1,0
997,2,790,527.5095300117954
998,3,801,528.0386268322686
999,4,774,528.5677236527418
1000,5,733,529.0968204732151
1001,6,619,529.6259172936883
1002,7,304,530.1550141141614
1003,1,2,0
1004,2,782,531.2132077551079
1005,3,724,531.7423045755811
1006,4,734,532.2714013960543
1007,5,752,532.8004982165276
1008,6,673,533.3295950370008
1009,7,296,533.858691857474
1011,2,726,534.9168854984204
1012,3,867,535.4459823188936
1013,4,722,535.9750791393668
1014,5,736,536.50417595984
1015,6,6,537.0332727803133
1016,7,269,537.5623696007865
1017,1,3,0
1018,2,733,538.620563241733
1019,3,832,539.1496600622061
1020,4,954,539.6787568826793
1021,5,833,540.2078537031525
1022,6,869,540.7369505236258
1023,7,420,541.266047344099
1025,2,973,542.3242409850454
1026,3,1029,542.8533378055187
1027,4,957,543.3824346259919
1028,5,903,543.911531446465
1029,6,851,544.4406282669382
1030,7,402,544.9697250874115
1031,1,2,0
1032,2,992,546.0279187283579
1033,3,907,546.5570155488311
1034,4,896,547.0861123693044
1035,5,892,547.6152091897776
1036,6,1,548.1443060102508
1037,7,352,548.673402830724
1038,1,3,0
1039,2,1040,549.7315964716704
1040,3,902,550.2606932921436
1041,4,1052,550.7897901126169
1042,5,921,551.3188869330901
1043,6,949,551.8479837535633
1044,7,369,552.3770805740365
1045,1,1,0
1046,2,1027,553.4352742149829
1047,3,533,553.9643710354561
1048,4,1193,554.4934678559293
1049,5,24,555.0225646764026
1050,6,1010,555.5516614968758
1051,7,407,556.080758317349
1052,1,1,0
1053,2,992,557.1389519582955
1054,3,568,557.6680487787686
1055,4,973,558.1971455992418
1056,5,1046,558.726242419715
1057,6,910,559.2553392401883
1058,7,391,559.7844360606615
1059,1,1,0
1060,2,1063,560.842629701608
1061,3,1071,561.3717265220812
1062,4,1073,561.9008233425544
1063,5,1013,562.4299201630275
1064,6,956,562.9590169835008
1065,7,396,563.488113803974
1067,2,1098,564.5463074449204
1068,3,1167,565.0754042653937
