1,    -4,    -120,     -132.03,    0.91 
2,    -3.9,    -113.34,     -124.61,    0.91 
3,    -3.8,    -106.95,     -117.49,    0.91 
4,    -3.7,    -100.83,     -110.65,    0.91 
5,    -3.6,    -94.98,     -104.08,    0.91 
6,    -3.5,    -89.37,     -97.79,    0.91 
7,    -3.4,    -84.02,     -91.77,    0.92 
8,    -3.3,    -78.92,     -86,    0.92 
9,    -3.2,    -74.05,     -80.49,    0.92 
10,    -3.1,    -69.41,     -75.23,    0.92 
11,    -3,    -65,     -70.22,    0.93 
12,    -2.9,    -60.81,     -65.44,    0.93 
13,    -2.8,    -56.83,     -60.89,    0.93 
14,    -2.7,    -53.06,     -56.56,    0.94 
15,    -2.6,    -49.5,     -52.46,    0.94 
16,    -2.5,    -46.12,     -48.56,    0.95 
17,    -2.4,    -42.94,     -44.88,    0.96 
18,    -2.3,    -39.95,     -41.39,    0.97 
19,    -2.2,    -37.13,     -38.1,    0.97 
20,    -2.1,    -34.48,     -35,    0.99 
21,    -2,    -32,     -32.08,    1 
22,    -1.9,    -29.68,     -29.34,    0.99 
23,    -1.8,    -27.51,     -26.76,    0.97 
24,    -1.7,    -25.49,     -24.36,    0.96 
25,    -1.6,    -23.62,     -22.11,    0.94 
26,    -1.5,    -21.87,     -20.01,    0.92 
27,    -1.4,    -20.26,     -18.06,    0.89 
28,    -1.3,    -18.78,     -16.26,    0.87 
29,    -1.2,    -17.41,     -14.58,    0.84 
30,    -1.1,    -16.15,     -13.04,    0.81 
31,    -1,    -15,     -11.62,    0.77 
32,    -0.9,    -13.95,     -10.31,    0.74 
33,    -0.8,    -12.99,     -9.12,    0.7 
34,    -0.7,    -12.12,     -8.03,    0.66 
35,    -0.6,    -11.34,     -7.04,    0.62 
36,    -0.5,    -10.62,     -6.14,    0.58 
37,    -0.4,    -9.98,     -5.33,    0.53 
38,    -0.3,    -9.41,     -4.6,    0.49 
39,    -0.2,    -8.89,     -3.94,    0.44 
40,    -0.1,    -8.42,     -3.35,    0.4 
41,    0,    -8,     -2.83,    0.35 
42,    0.1,    -7.62,     -2.36,    0.31 
43,    0.2,    -7.27,     -1.95,    0.27 
44,    0.3,    -6.95,     -1.57,    0.23 
45,    0.4,    -6.66,     -1.24,    0.19 
46,    0.5,    -6.37,     -0.94,    0.15 
47,    0.6,    -6.1,     -0.67,    0.11 
48,    0.7,    -5.84,     -0.41,    0.07 
49,    0.8,    -5.57,     -0.18,    0.03 
50,    0.9,    -5.29,     0.05,    0.01 
51,    1,    -5,     0.28,    0.06 
52,    1.1,    -4.69,     0.51,    0.11 
53,    1.2,    -4.35,     0.75,    0.17 
54,    1.3,    -3.98,     1,    0.25 
55,    1.4,    -3.58,     1.28,    0.36 
56,    1.5,    -3.12,     1.58,    0.51 
57,    1.6,    -2.62,     1.92,    0.73 
58,    1.7,    -2.07,     2.29,    0.9 
59,    1.8,    -1.45,     2.71,    0.53 
60,    1.9,    -0.76,     3.18,    0.24 
61,    2,    0,     3.71,    0 
62,    2.1,    0.84,     4.3,    0.2 
63,    2.2,    1.77,     4.97,    0.36 
64,    2.3,    2.79,     5.7,    0.49 
65,    2.4,    3.9,     6.52,    0.6 
66,    2.5,    5.13,     7.42,    0.69 
67,    2.6,    6.46,     8.42,    0.77 
68,    2.7,    7.9,     9.52,    0.83 
69,    2.8,    9.47,     10.72,    0.88 
70,    2.9,    11.17,     12.04,    0.93 
71,    3,    13,     13.47,    0.97 
72,    3.1,    14.97,     15.02,    1 
73,    3.2,    17.09,     16.71,    0.98 
74,    3.3,    19.36,     18.53,    0.96 
75,    3.4,    21.78,     20.49,    0.94 
76,    3.5,    24.38,     22.59,    0.93 
77,    3.6,    27.14,     24.85,    0.92 
78,    3.7,    30.07,     27.27,    0.91 
79,    3.8,    33.19,     29.86,    0.9 
80,    3.9,    36.5,     32.62,    0.89 
81,    4,    40,     35.55,    0.89 
82,    4.1,    43.7,     38.67,    0.88 
83,    4.2,    47.61,     41.97,    0.88 
84,    4.3,    51.73,     45.47,    0.88 
85,    4.4,    56.06,     49.18,    0.88 
86,    4.5,    60.63,     53.08,    0.88 
87,    4.6,    65.42,     57.21,    0.87 
88,    4.7,    70.44,     61.55,    0.87 
89,    4.8,    75.71,     66.12,    0.87 
90,    4.9,    81.23,     70.92,    0.87 
