d,p,w
732,169,3
733,224,4
734,221,5
735,229,6
736,84,7
737,2,1
738,315,2
739,288,3
740,263,4
741,262,5
742,265,6
743,108,7
744,2,1
745,322,2
746,324,3
747,327,4
748,316,5
749,281,6
750,112,7
751,1,1
752,312,2
753,329,3
754,317,4
755,276,5
756,294,6
757,104,7
759,304,2
760,337,3
761,332,4
762,316,5
763,298,6
764,120,7
765,2,1
766,469,2
767,378,3
768,377,4
769,335,5
770,337,6
771,85,7
772,2,1
773,73,2
774,1,3
775,332,4
776,353,5
777,334,6
778,128,7
779,11,1
780,387,2
781,370,3
782,377,4
783,351,5
784,351,6
785,131,7
786,3,1
787,417,2
788,408,3
789,402,4
790,401,5
791,359,6
792,159,7
793,6,1
794,453,2
795,445,3
796,399,4
797,457,5
798,399,6
799,163,7
800,6,1
801,489,2
802,501,3
803,465,4
804,464,5
805,470,6
806,179,7
807,6,1
808,470,2
809,517,3
810,530,4
811,539,5
812,457,6
813,145,7
814,7,1
815,493,2
816,493,3
817,481,4
818,410,5
819,2,6
820,116,7
821,1,1
822,520,2
823,518,3
824,533,4
825,370,5
826,459,6
827,147,7
828,1,1
829,568,2
830,489,3
831,517,4
832,478,5
833,493,6
834,168,7
835,7,1
836,572,2
837,596,3
838,620,4
839,492,5
840,502,6
841,7,7
842,3,1
843,488,2
844,582,3
845,545,4
846,499,5
847,511,6
848,186,7
849,1,1
850,639,2
851,9,3
852,574,4
853,594,5
854,551,6
855,198,7
856,6,1
857,624,2
858,575,3
859,572,4
860,531,5
861,522,6
862,166,7
863,3,1
864,588,2
865,569,3
866,517,4
867,531,5
868,470,6
869,205,7
870,3,1
871,573,2
872,635,3
873,560,4
874,444,5
875,371,6
876,159,7
877,3,1
878,451,2
879,467,3
880,504,4
881,10,5
882,566,6
883,202,7
884,6,1
885,631,2
886,635,3
887,612,4
888,553,5
889,529,6
890,229,7
891,1,1
892,639,2
893,581,3
894,497,4
895,597,5
896,469,6
897,207,7
898,1,1
899,672,2
900,553,3
901,610,4
902,559,5
903,449,6
904,191,7
905,3,1
906,640,2
907,591,3
908,382,4
909,604,5
910,535,6
911,247,7
912,5,1
913,455,2
914,602,3
915,686,4
916,631,5
917,358,6
918,288,7
919,3,1
920,339,2
921,751,3
922,703,4
923,666,5
924,553,6
925,258,7
927,652,2
928,660,3
929,632,4
930,675,5
931,581,6
932,202,7
933,1,1
934,828,2
935,764,3
936,677,4
937,641,5
938,552,6
939,241,7
940,1,1
941,681,2
942,667,3
943,643,4
944,887,5
945,577,6
946,241,7
947,1,1
948,675,2
949,774,3
950,662,4
951,741,5
952,663,6
953,241,7
955,744,2
956,726,3
957,673,4
958,682,5
959,635,6
960,233,7
961,3,1
962,738,2
963,726,3
964,737,4
965,691,5
966,605,6
967,221,7
968,2,1
969,725,2
970,655,3
971,699,4
972,686,5
973,837,6
974,306,7
975,1,1
976,809,2
977,684,3
978,722,4
979,687,5
980,7,6
981,211,7
982,2,1
983,751,2
984,778,3
985,812,4
986,720,5
987,683,6
988,265,7
989,16,1
990,802,2
991,866,3
992,750,4
993,720,5
994,710,6
995,286,7
996,1,1
997,790,2
998,801,3
999,774,4
1000,733,5
1001,619,6
1002,304,7
1003,2,1
1004,782,2
1005,724,3
1006,734,4
1007,752,5
1008,673,6
1009,296,7
1011,726,2
1012,867,3
1013,722,4
1014,736,5
1015,6,6
1016,269,7
1017,3,1
1018,733,2
1019,832,3
1020,954,4
1021,833,5
1022,869,6
1023,420,7
1025,973,2
1026,1029,3
1027,957,4
1028,903,5
1029,851,6
1030,402,7
1031,2,1
1032,992,2
1033,907,3
1034,896,4
1035,892,5
1036,1,6
1037,352,7
1038,3,1
1039,1040,2
1040,902,3
1041,1052,4
1042,921,5
1043,949,6
1044,369,7
1045,1,1
1046,1027,2
1047,533,3
1048,1193,4
1049,24,5
1050,1010,6
1051,407,7
1052,1,1
1053,992,2
1054,568,3
1055,973,4
1056,1046,5
1057,910,6
1058,391,7
1059,1,1
1060,1063,2
1061,1071,3
1062,1073,4
1063,1013,5
1064,956,6
1065,396,7
1067,1098,2
1068,1167,3
